Location,Treatment,Count,Start time,End time,Point no.
SBN,Y,1,09:43,09:53,3
SBN,O,1,10:17,10:27,1
SBN,O,1,10:17,10:27,1
SBN,O,1,10:17,10:27,1
SBN,O,1,10:17,10:27,1
SBN,O,1,10:17,10:27,1
SBN,O,1,10:17,10:27,1
SBN,O,1,10:53,11:03,2
SBN,O,1,10:53,11:03,2
SBN,O,1,10:53,11:03,2
SBN,O,1,10:53,11:03,2
SBN,O,1,10:53,11:03,2
SBN,O,1,10:53,11:03,2
SBN,O,1,10:53,11:03,2
SBN,O,1,10:53,11:03,2
SBN,O,1,11:09,11:19,3
SBN,O,1,11:09,11:19,3
SBN,O,1,11:09,11:19,3
SBN,O,1,11:09,11:19,3
SBN,O,1,11:09,11:19,3
SBN,O,1,11:09,11:19,3
SM,Y,1,07:55,08:05,3
SM,Y,1,07:55,08:05,3
SM,Y,1,07:55,08:05,3
SM,Y,1,07:55,08:05,3
SM,Y,1,07:55,08:05,3
SM,Y,1,07:55,08:05,3
SM,Y,1,07:55,08:05,3
SM,Y,1,07:55,08:05,3
SM,Y,1,07:55,08:05,3
SM,Y,1,07:55,08:05,3
SM,Y,1,08:15,08:25,1
SM,Y,1,08:15,08:25,1
SM,Y,1,08:15,08:25,1
SM,Y,1,08:15,08:25,1
SM,Y,1,08:15,08:25,1
SM,Y,1,08:35,08:45,2
SM,Y,1,08:35,08:45,2
SM,Y,1,08:35,08:45,2
SM,Y,1,08:35,08:45,2
SM,Y,1,08:35,08:45,2
SM,O,1,08:58,09:08,1
SM,O,1,08:58,09:08,1
SM,O,1,08:58,09:08,1
SM,O,1,08:58,09:08,1
SM,O,1,09:15,09:25,3
SM,O,1,09:15,09:25,3
SM,O,1,09:15,09:25,3
SM,O,1,09:15,09:25,3
SM,O,1,09:15,09:25,3
SM,O,1,09:15,09:25,3
SM,O,1,09:15,09:25,3
SM,O,1,09:43,09:53,2
SM,O,1,09:43,09:53,2
SM,O,1,09:43,09:53,2
SM,O,1,09:43,09:53,2
SM,O,1,09:43,09:53,2
SM,O,1,09:43,09:53,2
SM,C,1,10:28,10:38,2
SM,C,1,10:28,10:38,2
SM,C,1,10:28,10:38,2
SM,C,1,10:28,10:38,2
SM,C,1,10:52,11:02,3
SM,C,1,10:52,11:02,3
SM,C,1,10:52,11:02,3
SM,C,1,10:52,11:02,3
SM,C,1,10:52,11:02,3
SM,C,1,10:52,11:02,3
SM,C,1,11:10,11:20,1
SM,C,1,11:10,11:20,1
SM,C,1,11:10,11:20,1
SM,C,1,11:10,11:20,1
SM,C,1,11:10,11:20,1
SM,C,1,11:10,11:20,1
NG,C,2,07:42,07:52,3
NG,C,2,07:42,07:52,3
NG,C,2,07:42,07:52,3
NG,C,2,07:42,07:52,3
NG,C,2,07:42,07:52,3
NG,C,2,07:42,07:52,3
NG,C,2,07:42,07:52,3
NG,C,2,07:59,08:09,2
NG,C,2,08:59,08:09,2
NG,C,2,09:59,08:09,2
NG,C,2,10:59,08:09,2
NG,C,2,11:59,08:09,2
NG,C,2,08:15,08:25,1
NG,C,2,08:15,08:25,1
NG,C,2,08:15,08:25,1
NG,C,2,08:15,08:25,1
